case_id,customer_id,customer_segment,customer_lifetime_value,successful_payment_count,failed_payment_count,total_payment_attempts,communication_opt_in,action,recovery_amount,action_cost,failure_category,amount_bucket,attempt_number,historical_failure_rate,customer_success_rate,failure_to_success_ratio,amount_to_lifetime_value_ratio,payment_history_volume,recovery_probability,expected_recovery,erv
CASE_000001,CUST_01698,regular,70643.07,3,1,4,1,retry,8478.68,2.0,limit_exceeded,5k_25k,1,0.25,0.75,0.3333333333333333,0.12002139771105644,4,0.3475895693319643,2947.100729703539,2945.100729703539
CASE_000001,CUST_01698,regular,70643.07,3,1,4,1,reminder,8478.68,5.0,limit_exceeded,5k_25k,1,0.25,0.75,0.3333333333333333,0.12002139771105644,4,0.5664293405784722,4802.573121375881,4797.573121375881
CASE_000001,CUST_01698,regular,70643.07,3,1,4,1,escalate,8478.68,25.0,limit_exceeded,5k_25k,1,0.25,0.75,0.3333333333333333,0.12002139771105644,4,0.4490441202808675,3807.3014017429855,3782.3014017429855
CASE_000002,CUST_01132,regular,48159.78,7,1,8,1,retry,13042.46,2.0,temporary_bank_failure,5k_25k,1,0.125,0.875,0.14285714285714285,0.270816436453821,8,0.8579277809938051,11189.488766500463,11187.488766500463
CASE_000002,CUST_01132,regular,48159.78,7,1,8,1,reminder,13042.46,5.0,temporary_bank_failure,5k_25k,1,0.125,0.875,0.14285714285714285,0.270816436453821,8,0.6053250405850331,7894.92762882867,7889.92762882867
CASE_000002,CUST_01132,regular,48159.78,7,1,8,1,escalate,13042.46,25.0,temporary_bank_failure,5k_25k,1,0.125,0.875,0.14285714285714285,0.270816436453821,8,0.7908914115276579,10315.169599193016,10290.169599193016
CASE_000003,CUST_01561,regular,26685.57,3,1,4,1,retry,17945.34,2.0,blocked_instrument,5k_25k,1,0.25,0.75,0.3333333333333333,0.6724735503120226,4,0.14619254953734376,2623.4750069144766,2621.4750069144766
CASE_000003,CUST_01561,regular,26685.57,3,1,4,1,reminder,17945.34,5.0,blocked_instrument,5k_25k,1,0.25,0.75,0.3333333333333333,0.6724735503120226,4,0.5675573060814091,10185.008827114954,10180.008827114954
CASE_000003,CUST_01561,regular,26685.57,3,1,4,1,escalate,17945.34,25.0,blocked_instrument,5k_25k,1,0.25,0.75,0.3333333333333333,0.6724735503120226,4,0.4818754424835465,8647.418653017687,8622.418653017687
CASE_000004,CUST_00126,regular,21935.85,5,1,6,1,retry,46945.17,2.0,timeout,25k_100k,1,0.16666666666666666,0.8333333333333334,0.2,2.140111734899719,6,0.7017244033356433,32942.57140774034,32940.57140774034
CASE_000004,CUST_00126,regular,21935.85,5,1,6,1,reminder,46945.17,5.0,timeout,25k_100k,1,0.16666666666666666,0.8333333333333334,0.2,2.140111734899719,6,0.498121765137986,23384.410945102827,23379.410945102827
CASE_000004,CUST_00126,regular,21935.85,5,1,6,1,escalate,46945.17,25.0,timeout,25k_100k,1,0.16666666666666666,0.8333333333333334,0.2,2.140111734899719,6,0.601676036413141,28245.783814341095,28220.783814341095
CASE_000005,CUST_00495,new,9776.56,0,1,1,1,retry,4216.94,2.0,expired_instrument,0_5k,1,1.0,0.0,1.0,0.4313316749449704,1,0.23604200816486567,995.3749859107486,993.3749859107486
CASE_000005,CUST_00495,new,9776.56,0,1,1,1,reminder,4216.94,5.0,expired_instrument,0_5k,1,1.0,0.0,1.0,0.4313316749449704,1,0.5176483370097679,2182.8919782699704,2177.8919782699704
CASE_000005,CUST_00495,new,9776.56,0,1,1,1,escalate,4216.94,25.0,expired_instrument,0_5k,1,1.0,0.0,1.0,0.4313316749449704,1,0.42604420781111363,1796.6028616869974,1771.6028616869974
CASE_000006,CUST_00484,new,8528.0,3,1,4,1,retry,19108.54,2.0,temporary_bank_failure,5k_25k,1,0.25,0.75,0.3333333333333333,2.2406824577861166,4,0.8014003451567557,15313.590551441674,15311.590551441674
CASE_000006,CUST_00484,new,8528.0,3,1,4,1,reminder,19108.54,5.0,temporary_bank_failure,5k_25k,1,0.25,0.75,0.3333333333333333,2.2406824577861166,4,0.7358716006193387,14061.431915298657,14056.431915298657
CASE_000006,CUST_00484,new,8528.0,3,1,4,1,escalate,19108.54,25.0,temporary_bank_failure,5k_25k,1,0.25,0.75,0.3333333333333333,2.2406824577861166,4,0.6882559236527043,13151.565847354646,13126.565847354646
CASE_000007,CUST_00758,regular,39350.73,3,1,4,1,retry,26683.81,2.0,unknown_failure,25k_100k,1,0.25,0.75,0.3333333333333333,0.6781020326687713,4,0.3916549149923155,10450.845337221099,10448.845337221099
CASE_000007,CUST_00758,regular,39350.73,3,1,4,1,reminder,26683.81,5.0,unknown_failure,25k_100k,1,0.25,0.75,0.3333333333333333,0.6781020326687713,4,0.5032232940702047,13427.91476654347,13422.91476654347
CASE_000007,CUST_00758,regular,39350.73,3,1,4,1,escalate,26683.81,25.0,unknown_failure,25k_100k,1,0.25,0.75,0.3333333333333333,0.6781020326687713,4,0.5137947629661155,13710.001833982862,13685.001833982862
CASE_000008,CUST_00825,high_value,277900.33,3,3,6,1,retry,54006.26,2.0,unknown_failure,25k_100k,1,0.5,0.5,1.0,0.19433679693723285,6,0.35794896167516665,19331.484690959085,19329.484690959085
CASE_000008,CUST_00825,high_value,277900.33,3,3,6,1,reminder,54006.26,5.0,unknown_failure,25k_100k,1,0.5,0.5,1.0,0.19433679693723285,6,0.5618888757468598,30345.516714692603,30340.516714692603
CASE_000008,CUST_00825,high_value,277900.33,3,3,6,1,escalate,54006.26,25.0,unknown_failure,25k_100k,1,0.5,0.5,1.0,0.19433679693723285,6,0.5137461545638147,27745.508397373564,27720.508397373564
CASE_000009,CUST_00443,new,15946.63,3,3,6,1,retry,13415.5,2.0,insufficient_funds,5k_25k,1,0.5,0.5,1.0,0.8412749276806448,6,0.27536200356116536,3694.118958774814,3692.118958774814
CASE_000009,CUST_00443,new,15946.63,3,3,6,1,reminder,13415.5,5.0,insufficient_funds,5k_25k,1,0.5,0.5,1.0,0.8412749276806448,6,0.573250252660869,7690.438764571889,7685.438764571889
CASE_000009,CUST_00443,new,15946.63,3,3,6,1,escalate,13415.5,25.0,insufficient_funds,5k_25k,1,0.5,0.5,1.0,0.8412749276806448,6,0.509319499457893,6832.7757449773635,6807.7757449773635
CASE_000010,CUST_01786,new,9514.92,3,1,4,1,retry,7189.61,2.0,timeout,5k_25k,1,0.25,0.75,0.3333333333333333,0.755614340425353,4,0.6140036074257664,4414.446475984364,4412.446475984364
CASE_000010,CUST_01786,new,9514.92,3,1,4,1,reminder,7189.61,5.0,timeout,5k_25k,1,0.25,0.75,0.3333333333333333,0.755614340425353,4,0.4854301728606844,3490.0536251009053,3485.0536251009053
